siteID,domainID,namedLocation,eventID,boutEndDate,targetTaxaPresent,1,2,3,site_int,increased,measuredReachLength,n,mean_wetted_width_m,sd_wetted_width_m,area_m2
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2016.fall,2016-10-12T21:00:00Z,NA,15,10,11,1,depletion,80,1,5.954166666666667,2.911375256657715,476.3333333333333
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2016.spring,2016-04-14T19:30:00Z,NA,4,2,4,2,depletion,80,1,5.954166666666667,2.911375256657715,476.3333333333333
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2017.spring,2017-04-12T21:15:00Z,NA,15,7,6,3,depletion,80,1,5.954166666666667,2.911375256657715,476.3333333333333
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2018.fall,2018-10-18T20:30:00Z,NA,251,202,141,4,depletion,86,1,5.954166666666667,2.911375256657715,512.0583333333333
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2018.spring,2018-04-04T18:47:00Z,NA,66,44,32,5,depletion,86,1,5.954166666666667,2.911375256657715,512.0583333333333
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2019.fall,2019-10-16T21:10:00Z,NA,168,222,139,6,depletion,86,1,5.954166666666667,2.911375256657715,512.0583333333333
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2019.spring,2019-04-10T17:28:00Z,NA,44,29,23,7,depletion,86,1,5.954166666666667,2.911375256657715,512.0583333333333
ARIK,D10,ARIK.AOS.fish.point.01,ARIK.2024.spring,2024-04-03T17:25:00Z,NA,17,11,9,8,depletion,84,1,5.954166666666667,2.911375256657715,500.15
ARIK,D10,ARIK.AOS.fish.point.06,ARIK.2016.fall,2016-10-12T21:00:00Z,NA,54,40,14,9,depletion,100,1,5.954166666666667,2.911375256657715,595.4166666666666
ARIK,D10,ARIK.AOS.fish.point.06,ARIK.2016.spring,2016-04-14T19:30:00Z,NA,26,10,18,10,depletion,100,1,5.954166666666667,2.911375256657715,595.4166666666666
ARIK,D10,ARIK.AOS.fish.point.06,ARIK.2017.fall,2017-10-19T19:15:00Z,NA,82,52,55,11,depletion,102,1,5.954166666666667,2.911375256657715,607.325
ARIK,D10,ARIK.AOS.fish.point.06,ARIK.2017.spring,2017-04-12T21:15:00Z,NA,99,67,57,12,depletion,100,1,5.954166666666667,2.911375256657715,595.4166666666666
ARIK,D10,ARIK.AOS.fish.point.06,ARIK.2018.fall,2018-10-18T20:30:00Z,NA,29,13,159,13,no depletion,102,1,5.954166666666667,2.911375256657715,607.325
